NumP,dt,Ndt,Precision, ,
4,0.200000,1000,10,4.000000e+11,
x,y,z,t,Ek,Ep
9.999619e+10,3.456000e+08,0.000000e+00,0.000000e+00,4.000122e+38,-5.107122e+39
-9.999619e+10,-3.456000e+08,0.000000e+00,0.000000e+00,4.000122e+38,-3.773122e+39
-3.456000e+08,9.999619e+10,0.000000e+00,0.000000e+00,4.000122e+38,-1.334000e+39
3.456000e+08,-9.999619e+10,0.000000e+00,0.000000e+00,4.000122e+38,0.000000e+00
9.974827e+10,3.798697e+09,0.000000e+00,2.000000e+00,4.038482e+38,-5.114794e+39
-9.974827e+10,-3.798697e+09,0.000000e+00,2.000000e+00,4.038482e+38,-3.778790e+39
-3.798697e+09,9.974827e+10,0.000000e+00,2.000000e+00,4.038482e+38,-1.336004e+39
3.798697e+09,-9.974827e+10,0.000000e+00,2.000000e+00,4.038482e+38,0.000000e+00
9.911791e+10,7.237209e+09,0.000000e+00,4.000000e+00,4.144561e+38,-5.136011e+39
-9.911791e+10,-7.237209e+09,0.000000e+00,4.000000e+00,4.144561e+38,-3.794465e+39
-7.237209e+09,9.911791e+10,0.000000e+00,4.000000e+00,4.144561e+38,-1.341546e+39
7.237209e+09,-9.911791e+10,0.000000e+00,4.000000e+00,4.144561e+38,0.000000e+00
9.810246e+10,1.064757e+10,0.000000e+00,6.000000e+00,4.320492e+38,-5.171199e+39
-9.810246e+10,-1.064757e+10,0.000000e+00,6.000000e+00,4.320492e+38,-3.820462e+39
-1.064757e+10,9.810246e+10,0.000000e+00,6.000000e+00,4.320492e+38,-1.350737e+39
1.064757e+10,-9.810246e+10,0.000000e+00,6.000000e+00,4.320492e+38,0.000000e+00
9.669766e+10,1.401560e+10,0.000000e+00,8.000000e+00,4.569894e+38,-5.221083e+39
-9.669766e+10,-1.401560e+10,0.000000e+00,8.000000e+00,4.569894e+38,-3.857316e+39
-1.401560e+10,9.669766e+10,0.000000e+00,8.000000e+00,4.569894e+38,-1.363767e+39
1.401560e+10,-9.669766e+10,0.000000e+00,8.000000e+00,4.569894e+38,0.000000e+00
9.489753e+10,1.732626e+10,0.000000e+00,1.000000e+01,4.898073e+38,-5.286722e+39
-9.489753e+10,-1.732626e+10,0.000000e+00,1.000000e+01,4.898073e+38,-3.905810e+39
-1.732626e+10,9.489753e+10,0.000000e+00,1.000000e+01,4.898073e+38,-1.380912e+39
1.732626e+10,-9.489753e+10,0.000000e+00,1.000000e+01,4.898073e+38,0.000000e+00
9.269423e+10,2.056320e+10,0.000000e+00,1.200000e+01,5.312321e+38,-5.369577e+39
-9.269423e+10,-2.056320e+10,0.000000e+00,1.200000e+01,5.312321e+38,-3.967022e+39
-2.056320e+10,9.269423e+10,0.000000e+00,1.200000e+01,5.312321e+38,-1.402554e+39
2.056320e+10,-9.269423e+10,0.000000e+00,1.200000e+01,5.312321e+38,0.000000e+00
9.007791e+10,2.370837e+10,0.000000e+00,1.400000e+01,5.822368e+38,-5.471592e+39
-9.007791e+10,-2.370837e+10,0.000000e+00,1.400000e+01,5.822368e+38,-4.042391e+39
-2.370837e+10,9.007791e+10,0.000000e+00,1.400000e+01,5.822368e+38,-1.429201e+39
2.370837e+10,-9.007791e+10,0.000000e+00,1.400000e+01,5.822368e+38,0.000000e+00
8.703648e+10,2.674146e+10,0.000000e+00,1.600000e+01,6.441023e+38,-5.595331e+39
