Mass,Posx,Posy,Posz,Velx,Vely,Velz
1.0E40,0.0,0.0,0.0,0.0,0.0,0.0
1.35582723e+29,4.632578e+15,5.0281e+14,-5.61648e+14,0.0,10000000.0,0.0
4.70678598e+29,5.029849e+15,-5.63647e+14,2.8295e+14,0.0,10000000.0,0.0
9.45274386e+29,5.027967e+15,9.59762e+14,-4.6463e+13,0.0,10000000.0,0.0
9.50278273e+29,4.841711e+15,-1.61688e+14,-2.5413e+13,0.0,10000000.0,0.0
4.80091312e+29,5.577674e+15,-9.21221e+14,9.18139e+14,0.0,10000000.0,0.0
6.12805443e+29,4.084497e+15,-4.27763e+14,2.40006e+14,0.0,10000000.0,0.0
1.30694583e+29,4.281589e+15,-7.50178e+14,6.85185e+14,0.0,10000000.0,0.0
9.47298395e+29,4.289921e+15,3.89481e+14,-4.80857e+14,0.0,10000000.0,0.0
4.88700898e+29,4.367929e+15,-8.60649e+14,4.67057e+14,0.0,10000000.0,0.0
1.48108536e+29,4.667267e+15,-6.43456e+14,5.84736e+14,0.0,10000000.0,0.0
6.04169514e+29,4.052578e+15,-4.1556e+14,-7.45906e+14,0.0,10000000.0,0.0
1.33975942e+29,4.537405e+15,-5.05123e+14,7.02726e+14,0.0,10000000.0,0.0
8.4615328e+29,5.087806e+15,-8.15894e+14,2.08431e+14,0.0,10000000.0,0.0
1.73555473e+29,4.643412e+15,6.02482e+14,9.42875e+14,0.0,10000000.0,0.0
2.75556777e+29,4.674845e+15,-4.03562e+14,-4.26203e+14,0.0,10000000.0,0.0
2.3849055e+29,4.649154e+15,6.04889e+14,-7.23866e+14,0.0,10000000.0,0.0
6.12302562e+29,5.007177e+15,-3.42448e+14,-3.97214e+14,0.0,10000000.0,0.0
3.53331825e+29,4.348928e+15,5.38416e+14,-6.13174e+14,0.0,10000000.0,0.0
1.44648817e+29,4.802147e+15,-1.48862e+14,7.10755e+14,0.0,10000000.0,0.0
6.76749459e+29,4.01633e+15,-9.32644e+14,7.9901e+13,0.0,10000000.0,0.0
6.96595228e+29,4.158335e+15,8.5181e+14,5.76485e+14,0.0,10000000.0,0.0
3.10473998e+29,5.188771e+15,-2.59409e+14,6.7674e+13,0.0,10000000.0,0.0
9.32457495e+29,5.674139e+15,2.6496e+13,-3.54009e+14,0.0,10000000.0,0.0
9.82656944e+29,4.357092e+15,6.95142e+14,-8.12992e+14,0.0,10000000.0,0.0
7.63121628e+29,5.467889e+15,2.83693e+14,9.82937e+14,0.0,10000000.0,0.0
5.47284272e+29,5.634688e+15,-3.1258e+13,-6.819e+12,0.0,10000000.0,0.0
3.9371341e+28,5.588101e+15,-3.08702e+14,-3.60072e+14,0.0,10000000.0,0.0
6.73412232e+29,5.336412e+15,-3.26937e+14,6.49871e+14,0.0,10000000.0,0.0
6.68689178e+29,4.465345e+15,-7.5245e+13,-6.98664e+14,0.0,10000000.0,0.0
3.7219779e+28,4.999188e+15,-9.63602e+14,9.82312e+14,0.0,10000000.0,0.0
8.82435699e+29,4.474354e+15,7.35164e+14,-1.00778e+14,0.0,10000000.0,0.0
5.65595303e+29,4.713748e+15,-5.71578e+14,5.54215e+14,0.0,10000000.0,0.0
7.64447088e+29,5.715415e+15,-9.99997e+14,2.0703e+14,0.0,10000000.0,0.0
9.60330605e+29,4.815391e+15,9.18088e+14,8.40499e+14,0.0,10000000.0,0.0
2.3405708e+29,4.215416e+15,-4.58293e+14,7.34341e+14,0.0,10000000.0,0.0
6.00031637e+29,5.610657e+15,7.02277e+14,-5.76078e+14,0.0,10000000.0,0.0
2.49864581e+29,5.760031e+15,4.00303e+14,-6.25802e+14,0.0,10000000.0,0.0
1.80509856e+29,5.102547e+15,-1.58154e+14,6.98284e+14,0.0,10000000.0,0.0
8.30907806e+29,5.952732e+15,-3.26016e+14,7.332e+12,0.0,10000000.0,0.0
9.36042552e+29,5.45232e+15,-9.7161e+14,-7.84751e+14,0.0,10000000.0,0.0
4.71532846e+29,5.09227e+15,8.40785e+14,-3.81558e+14,0.0,10000000.0,0.0
4.06286835e+29,4.958469e+15,4.67567e+14,-6.76241e+14,0.0,10000000.0,0.0
2.69922842e+29,5.128847e+15,-7.97925e+14,-9.57347e+14,0.0,10000000.0,0.0
3.01170753e+29,5.622231e+15,7.14403e+14,-9.28176e+14,0.0,10000000.0,0.0
1.2016496e+28,5.745535e+15,-9.91737e+14,-1.89192e+14,0.0,10000000.0,0.0
9.87557471e+29,4.832597e+15,7.35341e+14,8.9739e+14,0.0,10000000.0,0.0
2.23919619e+29,5.627841e+15,-8.31077e+14,-7.63826e+14,0.0,10000000.0,0.0
8.82676311e+29,5.664556e+15,-9.89169e+14,-9.23221e+14,0.0,10000000.0,0.0
2.7836223e+28,4.552731e+15,8.69949e+14,1.80969e+14,0.0,10000000.0,0.0
8.98309435e+29,4.890454e+15,8.14283e+14,-7.72813e+14,0.0,10000000.0,0.0
9.97290826e+29,5.064641e+15,3.13807e+14,1.44074e+14,0.0,10000000.0,0.0
3.49647981e+29,5.948005e+15,-2.53875e+14,8.31206e+14,0.0,10000000.0,0.0
7.04146045e+29,4.258682e+15,-6.97456e+14,-4.38678e+14,0.0,10000000.0,0.0
2.12813052e+29,4.093579e+15,-5.21043e+14,-6.28494e+14,0.0,10000000.0,0.0
8.87857155e+29,4.835984e+15,-9.66637e+14,6.40994e+14,0.0,10000000.0,0.0
4.49504393e+29,4.773103e+15,-1.38797e+14,-6.39343e+14,0.0,10000000.0,0.0
9.3607886e+28,5.37578e+15,-9.29237e+14,-9.18373e+14,0.0,10000000.0,0.0
2.3769748e+28,4.77126e+15,6.34761e+14,3.55423e+14,0.0,10000000.0,0.0
8.42583191e+29,4.22302e+15,7.66799e+14,-6.87766e+14,0.0,10000000.0,0.0
5.7908438e+29,5.106604e+15,-7.748e+14,4.2262e+13,0.0,10000000.0,0.0
4.01813547e+29,5.557244e+15,-7.06776e+14,4.18943e+14,0.0,10000000.0,0.0
1.88567681e+29,4.808585e+15,8.06347e+14,4.59924e+14,0.0,10000000.0,0.0
8.67063217e+29,4.750199e+15,-7.46112e+14,7.60051e+14,0.0,10000000.0,0.0
9.6198848e+29,5.55068e+15,-7.55822e+14,2.76587e+14,0.0,10000000.0,0.0
9.8453717e+29,5.236916e+15,6.07552e+14,-6.09758e+14,0.0,10000000.0,0.0
4.99407894e+29,4.785855e+15,9.30953e+14,3.32099e+14,0.0,10000000.0,0.0
5.87900041e+29,4.677114e+15,-4.10665e+14,6.74017e+14,0.0,10000000.0,0.0
6.06763259e+29,5.981089e+15,8.70448e+14,2.61883e+14,0.0,10000000.0,0.0
2.036765e+29,5.692107e+15,3.99904e+14,-5.03455e+14,0.0,10000000.0,0.0
1.19392024e+29,4.00102e+15,-6.17482e+14,8.96137e+14,0.0,10000000.0,0.0
3.8198763e+28,5.260593e+15,6.1949e+14,2.05008e+14,0.0,10000000.0,0.0
5.76371798e+29,5.328491e+15,-7.37062e+14,-9.15585e+14,0.0,10000000.0,0.0
1.46777561e+29,4.626569e+15,7.25224e+14,3.01551e+14,0.0,10000000.0,0.0
7.4449495e+29,5.482927e+15,8.74115e+14,2.73393e+14,0.0,10000000.0,0.0
3.944796e+29,4.264775e+15,-1.18379e+14,-2.42236e+14,0.0,10000000.0,0.0
1.84749497e+29,4.714603e+15,-2.4708e+14,7.71682e+14,0.0,10000000.0,0.0
3.89979902e+29,5.263454e+15,8.9236e+13,5.14506e+14,0.0,10000000.0,0.0
6.50867442e+29,5.765568e+15,1.72087e+14,-9.46127e+14,0.0,10000000.0,0.0
3.32778355e+29,5.450486e+15,-6.3379e+14,3.23297e+14,0.0,10000000.0,0.0
6.65013453e+29,4.74861e+15,1.4626e+13,3.82586e+14,0.0,10000000.0,0.0
9.40139544e+29,5.409478e+15,-8.26e+11,-8.47739e+14,0.0,10000000.0,0.0
6.0107842e+29,5.772778e+15,-4.43834e+14,1.06672e+14,0.0,10000000.0,0.0
8.36086713e+29,4.062786e+15,6.29383e+14,-2.27318e+14,0.0,10000000.0,0.0
7.04843949e+29,4.184383e+15,-3.4849e+13,9.00663e+14,0.0,10000000.0,0.0
4.75350494e+29,4.350701e+15,5.31725e+14,1.97537e+14,0.0,10000000.0,0.0
9.68349265e+29,5.847708e+15,4.04736e+14,-2.12045e+14,0.0,10000000.0,0.0
4.57323311e+29,5.296099e+15,4.9114e+13,1.39132e+14,0.0,10000000.0,0.0
7.08610763e+29,5.857803e+15,7.13228e+14,4.23147e+14,0.0,10000000.0,0.0
7.11983903e+29,4.118099e+15,1.68014e+14,-9.89049e+14,0.0,10000000.0,0.0
9.33335495e+29,5.453494e+15,7.83869e+14,-6.98139e+14,0.0,10000000.0,0.0
7.29427157e+29,5.278436e+15,-6.80231e+14,3.82324e+14,0.0,10000000.0,0.0
9.37470658e+29,4.503189e+15,-9.60883e+14,-9.0819e+14,0.0,10000000.0,0.0
3.39992399e+29,4.837072e+15,3.73207e+14,-3.51162e+14,0.0,10000000.0,0.0
4.36585329e+29,5.663489e+15,6.92924e+14,-5.05853e+14,0.0,10000000.0,0.0
6.8358387e+28,4.429874e+15,-8.50651e+14,-6.66976e+14,0.0,10000000.0,0.0
8.70446698e+29,5.538607e+15,9.22719e+14,3.99269e+14,0.0,10000000.0,0.0
9.8461719e+29,4.937932e+15,6.33812e+14,5.29246e+14,0.0,10000000.0,0.0
6.9003793e+29,4.495006e+15,5.40535e+14,1.55398e+14,0.0,10000000.0,0.0
